type,price,volume
bids,8292.99,0.01
bids,8290,3.189
bids,8289.99,0.01
bids,8286.99,0.0415
bids,8280,5
bids,8255.89,31.387
bids,8255.88,0.011
bids,8211.19,0.03
bids,8210.74,0.04
bids,8140.01,0.042
bids,8140,3.5434
bids,8139.12,31.387
bids,8000.11,0.27
bids,8000.1,0.0138
bids,8000,0.0418
bids,7830.01,0.2
bids,7830,0.15
bids,7801,0.4433
bids,7800,0.9029
bids,7588,0.05
bids,7388,0.05
bids,7223,0.1493
bids,7200,1.1
bids,7122.6,0.0202
bids,7108,0.071
bids,7100,0.0247
bids,7089.13,0.01
bids,7000,1.5
bids,6923.5,0.0208
bids,6888,0.1
bids,6800,2
bids,6724.4,0.0214
bids,6666,1
bids,6660,0.082
bids,6620,0.3125
bids,6565,1
bids,6525.3,0.0221
bids,6500,0.455
bids,6326.2,0.0228
bids,6250,0.2
bids,6127.1,0.0235
bids,6006,4.8044
bids,6000.01,0.937
bids,6000,3.1569
bids,5928,0.0243
bids,5888,2
bids,5826,0.091
bids,5743.84,125
bids,5728.9,0.0251
bids,5666,1
bids,5629,0.114
bids,5571.52,125
bids,5555,1
bids,5529.8,0.026
bids,5500,2
bids,5404.37,125
bids,5330.7,0.027
bids,5242.23,125
bids,5131.6,0.0281
bids,5084.96,125
bids,5011,0.077
bids,5000.01,1.185
bids,5000,1.5
bids,4932.5,0.0292
bids,4800,0.012
bids,4733.4,0.0304
bids,4639,0.132
bids,4601.11,0.501
bids,4545,1
bids,4534.3,0.0318
bids,4335.2,0.0332
bids,4136.1,0.0348
bids,4001,37.872
bids,4000,1
bids,3937,0.0366
bids,3737.9,0.0385
bids,3539.8,0.0407
bids,3535,1
bids,3500,0.443
bids,3251.24,0.134
bids,3000,1.8
bids,2500,0.066
bids,2000,1.01
bids,1846.5,0.5
bids,1376.5,0.011
bids,1357,0.043
bids,1221,0.01
bids,1220,0.01
bids,1219,0.01
bids,1218,0.01
bids,1217,0.01
bids,1216,0.01
bids,1215,0.01
bids,1214,0.01
bids,1213,0.01
bids,1212,0.01
bids,1211,0.01
bids,1210,0.01
bids,1209,0.01
bids,1208,0.01
bids,1207,0.01
bids,1206,0.01
bids,1205,0.01
bids,1204,0.01
bids,1203,0.01
bids,1202,0.01
bids,1201,0.01
bids,1200,0.025
bids,1190,0.01
bids,1185,0.01
bids,1180,0.01
bids,1175,0.01
bids,1170,0.01
bids,1165,0.01
bids,1160,0.01
bids,1155,0.01
bids,1150,0.01
bids,1149,0.01
bids,1148,0.01
bids,1147,0.01
bids,1146,0.01
bids,1145,0.01
bids,1144,0.01
bids,1143,0.01
bids,1142,0.01
bids,1141,0.01
bids,1140,0.01
bids,1139,0.01
bids,1138,0.01
bids,1137,0.01
bids,1136,0.01
bids,1135,0.01
bids,1134,0.01
bids,1133,0.01
bids,1132,0.01
bids,1131,0.01
bids,1130,0.01
bids,1129,0.01
bids,1128,0.01
bids,1127,0.01
bids,1126,0.01
bids,1125,0.01
bids,1124,0.01
bids,1123,0.01
bids,1122,0.01
bids,1121,0.01
bids,1120,0.01
bids,1119,0.01
bids,1118,0.01
bids,1117,0.01
bids,1116,0.01
bids,1115,0.01
bids,1114,0.01
bids,1113,0.01
bids,1112,0.01
bids,1111,0.01
bids,1110,0.01
bids,1109,0.01
bids,1108,0.01
bids,1107,0.01
bids,1106,0.01
bids,1105,0.01
bids,1104,0.01
bids,1103,0.01
bids,1102,0.01
bids,1101,0.01
bids,1100,0.01
bids,1050,0.049
bids,1035,2.8
bids,1009,0.01
bids,1008,0.01
bids,1007,0.01
bids,1006,0.01
bids,1005,0.01
bids,1004,0.01
bids,1003,0.01
bids,1002,0.01
bids,1001,0.01
bids,1000,18.01
bids,999,0.01
bids,998,0.01
bids,997,0.01
bids,996,0.01
bids,995,0.01
bids,994,0.01
bids,993,0.01
bids,992,0.01
bids,991,0.01
bids,990,0.01
bids,989,0.01
bids,988,0.01
bids,987,0.01
bids,986,0.01
bids,985,0.01
bids,984,0.01
bids,983,0.01
bids,982,0.01
bids,981,0.01
bids,980,0.01
bids,979,0.01
asks,8292.99,0.01
asks,8290,3.189
asks,8289.99,0.01
asks,8286.99,0.0415
asks,8280,5
asks,8255.89,31.387
asks,8255.88,0.011
asks,8211.19,0.03
asks,8210.74,0.04
asks,8140.01,0.042
asks,8140,3.5434
asks,8139.12,31.387
asks,8000.11,0.27
asks,8000.1,0.0138
asks,8000,0.0418
asks,7830.01,0.2
asks,7830,0.15
asks,7801,0.4433
asks,7800,0.9029
asks,7588,0.05
asks,7388,0.05
asks,7223,0.1493
asks,7200,1.1
asks,7122.6,0.0202
asks,7108,0.071
asks,7100,0.0247
asks,7089.13,0.01
asks,7000,1.5
asks,6923.5,0.0208
asks,6888,0.1
asks,6800,2
asks,6724.4,0.0214
asks,6666,1
asks,6660,0.082
asks,6620,0.3125
asks,6565,1
asks,6525.3,0.0221
asks,6500,0.455
asks,6326.2,0.0228
asks,6250,0.2
asks,6127.1,0.0235
asks,6006,4.8044
asks,6000.01,0.937
asks,6000,3.1569
asks,5928,0.0243
asks,5888,2
asks,5826,0.091
asks,5743.84,125
asks,5728.9,0.0251
asks,5666,1
asks,5629,0.114
asks,5571.52,125
asks,5555,1
asks,5529.8,0.026
asks,5500,2
asks,5404.37,125
asks,5330.7,0.027
asks,5242.23,125
asks,5131.6,0.0281
asks,5084.96,125
asks,5011,0.077
asks,5000.01,1.185
asks,5000,1.5
asks,4932.5,0.0292
asks,4800,0.012
asks,4733.4,0.0304
asks,4639,0.132
asks,4601.11,0.501
asks,4545,1
asks,4534.3,0.0318
asks,4335.2,0.0332
asks,4136.1,0.0348
asks,4001,37.872
asks,4000,1
asks,3937,0.0366
asks,3737.9,0.0385
asks,3539.8,0.0407
asks,3535,1
asks,3500,0.443
asks,3251.24,0.134
asks,3000,1.8
asks,2500,0.066
asks,2000,1.01
asks,1846.5,0.5
asks,1376.5,0.011
asks,1357,0.043
asks,1221,0.01
asks,1220,0.01
asks,1219,0.01
asks,1218,0.01
asks,1217,0.01
asks,1216,0.01
asks,1215,0.01
asks,1214,0.01
asks,1213,0.01
asks,1212,0.01
asks,1211,0.01
asks,1210,0.01
asks,1209,0.01
asks,1208,0.01
asks,1207,0.01
asks,1206,0.01
asks,1205,0.01
asks,1204,0.01
asks,1203,0.01
asks,1202,0.01
asks,1201,0.01
asks,1200,0.025
asks,1190,0.01
asks,1185,0.01
asks,1180,0.01
asks,1175,0.01
asks,1170,0.01
asks,1165,0.01
asks,1160,0.01
asks,1155,0.01
asks,1150,0.01
asks,1149,0.01
asks,1148,0.01
asks,1147,0.01
asks,1146,0.01
asks,1145,0.01
asks,1144,0.01
asks,1143,0.01
asks,1142,0.01
asks,1141,0.01
asks,1140,0.01
asks,1139,0.01
asks,1138,0.01
asks,1137,0.01
asks,1136,0.01
asks,1135,0.01
asks,1134,0.01
asks,1133,0.01
asks,1132,0.01
asks,1131,0.01
asks,1130,0.01
asks,1129,0.01
asks,1128,0.01
asks,1127,0.01
asks,1126,0.01
asks,1125,0.01
asks,1124,0.01
asks,1123,0.01
asks,1122,0.01
asks,1121,0.01
asks,1120,0.01
asks,1119,0.01
asks,1118,0.01
asks,1117,0.01
asks,1116,0.01
asks,1115,0.01
asks,1114,0.01
asks,1113,0.01
asks,1112,0.01
asks,1111,0.01
asks,1110,0.01
asks,1109,0.01
asks,1108,0.01
asks,1107,0.01
asks,1106,0.01
asks,1105,0.01
asks,1104,0.01
asks,1103,0.01
asks,1102,0.01
asks,1101,0.01
asks,1100,0.01
asks,1050,0.049
asks,1035,2.8
asks,1009,0.01
asks,1008,0.01
asks,1007,0.01
asks,1006,0.01
asks,1005,0.01
asks,1004,0.01
asks,1003,0.01
asks,1002,0.01
asks,1001,0.01
asks,1000,18.01
asks,999,0.01
asks,998,0.01
asks,997,0.01
asks,996,0.01
asks,995,0.01
asks,994,0.01
asks,993,0.01
asks,992,0.01
asks,991,0.01
asks,990,0.01
asks,989,0.01
asks,988,0.01
asks,987,0.01
asks,986,0.01
asks,985,0.01
asks,984,0.01
asks,983,0.01
asks,982,0.01
asks,981,0.01
asks,980,0.01
asks,979,0.01
